Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7nF","C_0805_2012Metric",107.156250,-64.293750,90.000000,top
"C2","10uF","C_0805_2012Metric",133.000000,-67.000000,270.000000,top
"C3","0.1uF","C_0805_2012Metric",147.000000,-63.500000,0.000000,top
"C4","0.1uF","C_0805_2012Metric",136.000000,-83.500000,90.000000,top
"C5","0.1uF","C_0805_2012Metric",151.000000,-77.500000,90.000000,top
"C6","1uF","C_0805_2012Metric",132.000000,-72.500000,180.000000,top
"C7","22pF","C_0805_2012Metric",146.500000,-85.500000,270.000000,top
"C8","22pF","C_0805_2012Metric",142.000000,-89.500000,0.000000,top
"C9","1uF","CP_EIA-3216-18_Kemet-A",235.000000,-75.000000,90.000000,top
"D1","1N4007","D_SOD-123",238.000000,-75.000000,90.000000,top
"F1","500mA","Fuse_1206_3216Metric",121.000000,-68.000000,180.000000,top
"J1","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",144.000000,-54.000000,90.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",217.000000,-57.000000,270.000000,top
"J4","USB_B","TE-292304-2",115.000000,-60.000000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-23",231.031250,-75.000000,0.000000,top
"R1","10k","R_0805_2012Metric",226.268750,-76.587500,180.000000,top
"R2","100","R_0805_2012Metric",226.268750,-73.412500,180.000000,top
"R3","1M","R_0805_2012Metric",110.331250,-64.293750,270.000000,top
"R67","22","R_0805_2012Metric",127.000000,-68.500000,180.000000,top
"R68","22","R_0805_2012Metric",127.000000,-71.500000,180.000000,top
"R70","10k","R_0805_2012Metric",115.000000,-80.000000,0.000000,top
"R71","1k","R_0805_2012Metric",151.000000,-67.000000,270.000000,top
"SW1","SW_Push","SKQG-1155865",115.000000,-75.000000,180.000000,top
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",142.000000,-72.500000,0.000000,top
"U2","PRTR5V0U2X","SOT143B",115.000000,-64.000000,270.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",142.000000,-85.500000,180.000000,top
